Sl No,Section,Rule / Definition,Source,Status,Authority,Date Locked,Notes
1,TIME,Financial Year Definition,FY runs from April to March. April is the first month. March is the last month.,CURRENT,User confirmation,02-Jun-2026,Original spec
2,TIME,CY / Y0 / YO are interchangeable,CY / Y0 / YO all refer to the Current Financial Year. They are synonyms and must be normalised before processing.,CURRENT,User confirmation,02-Jun-2026,Original spec
3,TIME,LY / Y-1 are interchangeable,LY and Y-1 both refer to the Previous Financial Year (one year before CY).,CURRENT,User confirmation,02-Jun-2026,Original spec
4,TIME,Y-2 Definition,Y-2 refers to the year preceding LY — two years before CY.,CURRENT,User confirmation,02-Jun-2026,Original spec
5,TIME,Review Mode — Time Mapping,Review Mode: CY = 2025-26 / LY = 2024-25 / Y-2 = 2023-24. One-time exception for FY25-26 review.,RETIRED,User decision,02-Jun-2026,User declared Review Mode not relevant. CY is now triggered by full April figures in the database.
6,TIME,Planning Mode — Time Mapping,Planning Mode: CY = 2026-27 / LY = 2025-26 / Y-2 = 2024-25.,CURRENT,User confirmation,02-Jun-2026,Original spec retained for future use
7,TIME,Month Label Format,Canonical month labels are three-letter uppercase: APR MAY JUN JUL AUG SEP OCT NOV DEC JAN FEB MAR.,CURRENT,User confirmation,02-Jun-2026,Original spec
8,TIME,H1 Definition,H1 = APR through SEP. Months 1-6 of the financial year.,CURRENT,User confirmation,02-Jun-2026,Original spec
9,TIME,H2 Definition,H2 = OCT through MAR. Months 7-12 of the financial year.,CURRENT,User confirmation,02-Jun-2026,Original spec
10,TIME,CUM Period Definition,CUM = Cumulative from April of CY to the last completed month.,CURRENT,User confirmation,02-Jun-2026,Original spec
11,TIME,Last 12 Months Definition,Rolling 12-month period. Distinct from LY which is the full financial year.,CURRENT,User confirmation,02-Jun-2026,Original spec
12,TIME,AVG Period Definition,AVG = Average of the selected period.,CURRENT,User confirmation,02-Jun-2026,Original spec
13,TIME,Corresponding Period Definition,Same calendar period in the prior year. Used for YoY comparison.,CURRENT,User confirmation,02-Jun-2026,Original spec
14,TIME,Current Month Definition,The ongoing partial month. Distinct from the last completed month.,CURRENT,User confirmation,02-Jun-2026,Original spec
15,TIME,Last Completed Month Definition,The most recently fully closed calendar month unless otherwise specified.,CURRENT,User confirmation,02-Jun-2026,Original spec
16,TIME,Historic TA Type Instance,Based on cumulative volume of the last completed full FY. Changes only on 1 April each year.,CURRENT,User confirmation,02-Jun-2026,Original spec
17,TIME,CY Cumulative TA Type Instance,Based on cumulative volume from April of current FY to last completed month. Updates monthly.,CURRENT,User confirmation,02-Jun-2026,Original spec
18,TIME,Current Month TA Type Instance,Based on volume of the last completed month only. Updates monthly.,CURRENT,User confirmation,02-Jun-2026,Original spec
19,OMC,IOCL Canonical OMC Tag,IOCL is the canonical identifier in all master files. IOC is an alias used at the query layer only.,CURRENT,User confirmation,02-Jun-2026,Original spec
20,OMC,BPCL Alias,BPCL = BPC (alias). Canonical form BPCL used in master.,CURRENT,User confirmation,02-Jun-2026,Original spec
21,OMC,HPCL Alias,HPCL = HPC (alias). Canonical form HPCL used in master.,CURRENT,User confirmation,02-Jun-2026,Original spec
22,OMC,NEL Aliases,NEL = Nayara = Essar = EOL. Canonical form NEL used in master.,CURRENT,User confirmation,02-Jun-2026,Original spec
23,OMC,RBML Aliases,RBML = RIL = JioBP = Jio = JB. Canonical form RBML used in master.,CURRENT,User confirmation,02-Jun-2026,Original spec
24,OMC,SIMPL Aliases,SIMPL = Shell. Canonical form SIMPL used in master.,CURRENT,User confirmation,02-Jun-2026,Original spec
25,OMC,PSU Definition,PSU = IOCL + BPCL + HPCL. These three are public sector OMCs.,CURRENT,User confirmation,02-Jun-2026,Original spec
26,OMC,Industry Definition,Industry = All OMCs including PSU and Private (IOCL + BPCL + HPCL + NEL + RBML + SIMPL and any others).,CURRENT,User confirmation,02-Jun-2026,Original spec
27,OMC,PSU is a Subset of Industry,PSU market share uses only IOCL+BPCL+HPCL volume as denominator. Industry MS uses all OMCs.,CURRENT,User confirmation,02-Jun-2026,Original spec
28,PRODUCT,MS Product Definition,MS = Motor Spirit. Includes all petrol variants: MS Regular / XP95 / XP100 and any future variants. Default includes all unless explicitly excluded.,CURRENT,User confirmation,02-Jun-2026,Original spec
29,PRODUCT,HSD Product Definition,HSD = High Speed Diesel. Includes all diesel variants: HSD Regular / XtraGreen and any future variants. Default includes all unless explicitly excluded.,CURRENT,User confirmation,02-Jun-2026,Original spec
30,PRODUCT,XP95 Definition,XP95 = XtraPremium 95 Octane. Branded MS at 95 RON. SAP codes: 17295 / 17497 / 17498 / 17595.,CURRENT,User confirmation,02-Jun-2026,Original spec
31,PRODUCT,XP100 Definition,XP100 = XtraPremium 100 Octane. Branded MS at 100 RON. SAP code: 17101.,CURRENT,User confirmation,02-Jun-2026,Original spec
32,PRODUCT,XtraGreen Definition,XtraGreen = Branded HSD. SAP codes: 50800 / 50850 / 51770.,CURRENT,User confirmation,02-Jun-2026,Original spec
33,PRODUCT,XP Ambiguity Rule,XP alone is ambiguous. In product context: refers to XP95 or XP100 (branded petrol). In loyalty context: refers to XtraPower (fleet card for bulk HSD). Context determines meaning. Never conflate.,CURRENT,User confirmation,02-Jun-2026,Original spec
34,PRODUCT,Ethanol Rollup Rule,Ethanol E93 (SAP 16770) and E100 (SAP 16780) are classified as MS product category. Included in MS totals for market share unless explicitly excluded in the query.,CURRENT,User confirmation,02-Jun-2026,Original spec
35,PRODUCT,MS Default Inclusion Rule,MS includes XP95 unless explicitly excluded. XP95 is part of MS total for market share.,CURRENT,User confirmation,02-Jun-2026,Original spec
36,PRODUCT,HSD Default Inclusion Rule,HSD includes XtraGreen unless explicitly excluded.,CURRENT,User confirmation,02-Jun-2026,Original spec
37,PRODUCT,Variant Exclusion Support,The system must support explicit exclusion queries such as MS excluding XP95 or HSD excluding XtraGreen.,CURRENT,User confirmation,02-Jun-2026,Original spec
38,HIERARCHY,Organisational Hierarchy — 4 Levels,DO > RSA (Sales Area) > Trading Area > Retail Outlet. This is the operational hierarchy from top to bottom.,CURRENT,User confirmation,02-Jun-2026,Original spec
39,HIERARCHY,Trading Area is Lowest Analysis Level,Trading Area is the lowest level for market analysis. It includes ROs of ALL OMCs — not IOCL only.,CURRENT,User confirmation,02-Jun-2026,Original spec
40,HIERARCHY,RSA Analysis Independence,RSA analysis is independent of District classification. Multi-RSA queries are permitted.,CURRENT,User confirmation,02-Jun-2026,Original spec
41,HIERARCHY,Multi-Dimensional Analysis Rule,Analysis is allowed across any combination of RSA / Trading Area / COM / District / Highway / Product or any combination specified by user or context.,CURRENT,User confirmation,02-Jun-2026,Original spec
42,IDENTITY,RO Primary Identifier,SAP Code (also referred to as RDB Code) is the primary identifier of a Retail Outlet.,CURRENT,User confirmation,02-Jun-2026,Original spec
43,VOLUME,Volume Synonyms,Volume = Sales = Purchase = Upliftment. These terms are interchangeable in the IOCL retail context.,CURRENT,User confirmation,02-Jun-2026,Original spec
44,VOLUME,Nozzle Sales Definition,Nozzle Sales = Actual customer-side sales at the dispenser. Distinct from upliftment which is supply from depot to RO.,CURRENT,User confirmation,02-Jun-2026,Original spec
45,MARKET_SHARE,Market Share Formula (Locked),Market Share % = (Total volume of OMC in the defined market / Total volume of all ROs in that market) x 100. Applies at any market level: DO / District / RSA / COM / NH / SH / Trading Area or any combination.,CURRENT,User confirmation,02-Jun-2026,Original spec
46,MARKET_SHARE,Market Participation Formula (Locked),Market Participation % = (Number of ROs of that OMC in the defined market / Total number of ROs of all OMCs in that market) x 100. Same market level flexibility as Market Share.,CURRENT,User confirmation,02-Jun-2026,Original spec
47,MARKET_SHARE,Market Share Growth Formula,Growth (pp) = CY Market Share % minus LY Market Share %. Expressed in absolute percentage points. Positive = gain. Negative = loss.,CURRENT,User confirmation,02-Jun-2026,Original spec
48,MARKET_SHARE,Industry vs PSU Market Share,Industry MS: denominator = all OMC volumes. PSU MS: denominator = IOCL + BPCL + HPCL volumes only.,CURRENT,User confirmation,02-Jun-2026,Original spec
49,MARKET_SHARE,Growth Reporting Convention,+/- represents absolute growth in percentage points. % represents percentage growth relative to base.,CURRENT,User confirmation,02-Jun-2026,Original spec
50,FLAGS,NIL Selling Definition,No upliftment for a continuous period of 3 calendar months. Financial year boundary is ignored — 3 months continuity is across calendar months only.,CURRENT,User confirmation,02-Jun-2026,Original spec
51,FLAGS,Negative Selling Definition,Current period upliftment is less than the same period in the previous year. Also referred to as -ve selling.,CURRENT,User confirmation,02-Jun-2026,Original spec
52,FLAGS,Growth RO Definition,Opposite of Negative Selling. Current period upliftment is greater than or equal to the same period LY. Classification logic is flexible.,CURRENT,User confirmation,02-Jun-2026,Original spec
53,FLAGS,Dry Out Definition,Stock falls below pumpable level causing stoppage of sales. Represents an operational failure.,CURRENT,User confirmation,02-Jun-2026,Original spec
54,FLAGS,CDD Definition,Critical Deemed Dry Out. Preemptive stoppage of sales at low stock level to avoid formal Dry Out flag. Represents preventive behaviour — not an operational failure.,CURRENT,User confirmation,02-Jun-2026,Original spec
55,PRCN,PRCN Definition,Price Revision Credit Note. A negative value in SAP billing for IOCL representing a price-differential credit between supply date and revision date. A legitimate financial adjustment.,CURRENT,User confirmation,02-Jun-2026,Original spec
56,PRCN,PRCN Rule — IOCL,Negative monthly values for IOCL ROs confirmed as PRCN must be retained as-is in all calculations. Never convert to zero.,CURRENT,User confirmation,02-Jun-2026,Original spec
57,PRCN,Negative Value Rule — Non-IOCL,For non-IOCL ROs negative values cannot be PRCNs. Set to zero pending confirmation from the concerned OMC. A Pending_OMC_Confirmation flag must be set.,CURRENT,User confirmation,02-Jun-2026,Original spec
58,CREDIT,CNC Payment Definition,CNC = Advance payment before upliftment.,CURRENT,User confirmation,02-Jun-2026,Original spec
59,CREDIT,eDOD Payment — T0,eDOD at T0 = No interest applicable.,CURRENT,User confirmation,02-Jun-2026,Original spec
60,CREDIT,eDOD Payment — T1 to T2,eDOD between T1 and T2 = Interest applicable but not yet default.,CURRENT,User confirmation,02-Jun-2026,Original spec
61,CREDIT,eDOD Payment — Post T2,eDOD after T2 = Default with penal interest.,CURRENT,User confirmation,02-Jun-2026,Original spec
62,CREDIT,Revolving Credit — Interest Free Window,Payment window: T+4 (5 days). Default after 5 days.,CURRENT,User confirmation,02-Jun-2026,Original spec
63,CREDIT,Revolving Credit — Interest Bearing,Interest applicable from day of supply.,CURRENT,User confirmation,02-Jun-2026,Original spec
64,CREDIT,Outstanding Definition,Outstanding = Principal + Interest (post default).,CURRENT,User confirmation,02-Jun-2026,Original spec
65,SKO,SKO Module Status,Currently defunct. Partial activation possible based on geopolitical conditions. Expected trigger window: April / May.,CURRENT,User confirmation,02-Jun-2026,Original spec
66,TA_TYPE,TA Type — IOCL Absent,IOCL RO count = 0 / other OMC count > 0. Derived from data. Never manually set.,CURRENT,User confirmation,02-Jun-2026,Original spec
67,TA_TYPE,TA Type — IOCL Monopoly,IOCL RO count > 0 / all other OMC counts = 0. Derived from data. Never manually set.,CURRENT,User confirmation,02-Jun-2026,Original spec
68,TA_TYPE,TA Type — IOCL Dominated,IOCL is present with other OMCs AND IOCL Market Share % > IOCL Market Participation %.,CURRENT,User confirmation,02-Jun-2026,Supersedes original count-ratio rule per Handover v2 §5.3
69,TA_TYPE,TA Type — OMC Dominated,IOCL is present with other OMCs AND IOCL Market Share % <= IOCL Market Participation %.,CURRENT,User confirmation,02-Jun-2026,Supersedes original count-ratio rule per Handover v2 §5.3
70,TA_TYPE,TA Type Error Record Rule,If all OMC counts = 0 for a Trading Area the TA is an error record and must be eliminated from the list before code assignment.,CURRENT,User confirmation,02-Jun-2026,Original spec
71,TA_TYPE,TA Type is Derived-Only,TA Type is never manually set. No admin override permitted. Changes in RO composition or volume automatically recalculate the type.,CURRENT,User confirmation,02-Jun-2026,Original spec
72,TA_TYPE,TA Type — No Minimum Delta Threshold,TA Type classification is purely directional. No minimum delta between share and participation is required. Any crossing of the threshold triggers immediate reclassification.,CURRENT,User confirmation,02-Jun-2026,Original spec
73,TA_TYPE,TA Type Combined MS+HSD — Deferred,A combined MS+HSD TA Type layer is not implemented in v1. Edge case: when an OMC RO in a TA sells only MS or only HSD combined type is non-trivial. Flagged for future resolution.,CURRENT,User confirmation,02-Jun-2026,Original spec
74,NAMING,Title Case — Universal Naming Convention,Every word in any text identifier starts with an uppercase letter; remaining characters of the word are lowercase. Applies universally across all database and dashboard entities.,CURRENT,User confirmation,02-Jun-2026,Original spec
75,NAMING,Title Case Exceptions,NH / SH / MDR road designations: always fully uppercase. OMC names (IOCL / BPCL / HPCL / NEL / RBML / SIMPL): always fully uppercase. SAP codes: stored as-is. Recognised abbreviations: retain standard capitalisation.,CURRENT,User confirmation,02-Jun-2026,Original spec
76,NAMING,Case-Insensitive Search Rule,Case is always ignored for search / matching / and deduplication. Any input format is accepted.,CURRENT,User confirmation,02-Jun-2026,Original spec
77,NAMING,Title Case Registration Rule,When registering any new entry from any source (user input / SAP data / imported file) the system normalises to Title Case before storing — regardless of source format.,CURRENT,User confirmation,02-Jun-2026,Original spec
78,NAMING,Title Case Scope,Applies to all current and future data modules: Trading Areas / RO Names / District Names / Vendor Names / Officer Names / Facility Names / and any other text identifier added to the database.,CURRENT,User confirmation,02-Jun-2026,Original spec
79,ROAD,NH Naming Convention,Format: NH-{number}. All caps / hyphen before number. Examples: NH-65 / NH-548D. Any input variation normalised to canonical format on registration.,CURRENT,User confirmation,02-Jun-2026,Original spec
80,ROAD,NH COM Rule,NH (National Highway) is a mandatory qualifying condition for D1 Class of Market.,CURRENT,User confirmation,02-Jun-2026,Original spec
81,ROAD,SH Naming Convention,Format: SH-{number}. All caps / hyphen before number. Example: SH-60. SH alone (without number) is a valid temporary entry when highway is notified but number not yet assigned.,CURRENT,User confirmation,02-Jun-2026,Original spec
82,ROAD,SH Pending Number Rule,When SH is entered without a number the system must generate a periodic reminder to admin / user to update with the number as soon as it becomes available.,CURRENT,User confirmation,02-Jun-2026,Original spec
83,ROAD,SH COM Rule,SH (State Highway) is a mandatory qualifying condition for D2 Class of Market.,CURRENT,User confirmation,02-Jun-2026,Original spec
84,ROAD,MDR Naming Convention,Format: MDR or MDR-{number}. All caps. Number is optional. Examples: MDR / MDR-12. Not a qualifying condition for any Class of Market — reference only.,CURRENT,User confirmation,02-Jun-2026,Original spec
85,ROAD,Road Input Flexibility,Case and format flexibility applies to all road types (NH / SH / MDR). Any input format accepted / normalised to canonical on storage.,CURRENT,User confirmation,02-Jun-2026,Original spec
86,TA_CODE,TA Code Format (Locked),Format: {SAP_RSA_Code}-{3-digit sequential number}. Example: M33-001 = first TA in Ahmednagar East RSA alphabetically.,CURRENT,User confirmation,02-Jun-2026,Original spec
87,TA_CODE,TA Code Sequencing Rule,Within each RSA TAs are numbered sequentially in alphabetical order of their Title Case canonical name / starting at 001.,CURRENT,User confirmation,02-Jun-2026,Original spec
88,TA_CODE,TA Code Post-Freeze Rule,New TAs added after the freeze point receive the next available number in their RSA sequence. They are not re-alphabetised into existing sequence.,CURRENT,User confirmation,02-Jun-2026,Original spec
89,TA_CODE,TA Code Immutability,TA Code never changes. If a TA is temporarily reassigned to a different RSA the code remains unchanged. Current_RSA field updates. Legacy_RSA_Mapping logs the change.,CURRENT,User confirmation,02-Jun-2026,Original spec
90,TA_CODE,TA Code Split/Merge Rule,If a TA is split original code is retired and two new codes are created. If merged both original codes are retired and one new code is created. Retired codes go to Legacy_TA_Codes field.,CURRENT,User confirmation,02-Jun-2026,Original spec
91,TA_CODE,TA Duplicate Name Rule — Trailing Space Bug,Duplicate TA names caused by trailing spaces are a data entry error — not genuine separate TAs. Resolution: trim whitespace and deduplicate. Single entry / single code assigned.,CURRENT,User confirmation,02-Jun-2026,Original spec
92,TA_MASTER,TA Name Canonical Source,RO Master is the sole source of truth for TA names. The TAA sheet is used only for TA Type and RO count cross-reference.,CURRENT,User confirmation,02-Jun-2026,Original spec
93,TA_MASTER,TA Master Generation Source,TA Master is generated fresh from the frozen RO Master — not by modifying the TAA sheet.,CURRENT,User confirmation,02-Jun-2026,Original spec
94,TA_MASTER,Empty TA Elimination Rule,Before code assignment any TA where all OMC counts = 0 must be eliminated as an error record.,CURRENT,User confirmation,02-Jun-2026,Original spec
95,TA_MASTER,TA RSA Legacy Mapping Rule,TA Master must contain: Current_RSA (active RSA) and Legacy_RSA_Mapping (log of all previous RSA associations with dates and reasons).,CURRENT,User confirmation,02-Jun-2026,Original spec
96,TA_MASTER,TA District Legacy Mapping Rule,TA Master must contain: Current_District and Legacy_District_Mapping (log of previous district associations for government-notified new district cases).,CURRENT,User confirmation,02-Jun-2026,Original spec
97,LEGACY,SAP Code Immutability,SAP Code is the permanent identity of a Retail Outlet. Cannot be changed. Any situation requiring a change is a new event — Legacy Code Mapping or New RO creation — never an edit.,CURRENT,User confirmation,02-Jun-2026,Original spec
98,LEGACY,New SAP Code Protocol — Step 1,When a SAP code appears in incoming data that does not exist in RO Master: flag to Admin / User. Ask: Is this a new Retail Outlet?,CURRENT,User confirmation,02-Jun-2026,Original spec
99,LEGACY,New SAP Code Protocol — New RO,If yes (new RO): create new entry in master with all required attributes. DOC default: last date of the month of first appearance if not explicitly provided.,CURRENT,User confirmation,02-Jun-2026,Original spec
100,LEGACY,New SAP Code Protocol — LC1,If no (Legacy Mapping LC1): Existing RO reconstituted. Dealership change requiring new legal entity / new SAP customer code. Update current SAP Code to new code. Move old code to Legacy_SAP_Codes.,CURRENT,User confirmation,02-Jun-2026,Original spec
101,LEGACY,New SAP Code Protocol — LC2,If no (Legacy Mapping LC2): IOCL takes over operation as adhoc COCO and assigns existing dealer for a defined period. Update current code. Legacy code preserved.,CURRENT,User confirmation,02-Jun-2026,Original spec
102,LEGACY,New SAP Code Protocol — LC3,If no (Legacy Mapping LC3): COCO operation transferred to new adhoc dealer or service provider for a defined period. Update current code. Legacy code preserved.,CURRENT,User confirmation,02-Jun-2026,Original spec
103,LEGACY,Legacy SAP Code Query Rule,Any query referencing a Legacy SAP Code must resolve to the current RO record. Historical sales under legacy code automatically roll up to current code for all analysis.,CURRENT,User confirmation,02-Jun-2026,Original spec
104,LEGACY,Legacy SAP Code — No Separate Query Default,Pre-change and post-change data are NOT separately queryable by default. Exception: explicit query on old code only may be supported if technically feasible.,CURRENT,User confirmation,02-Jun-2026,Original spec
105,LEGACY,Legacy Names Rule,All previous names of an RO are maintained as Legacy Names. Any query on a legacy name resolves to the current canonical RO record.,CURRENT,User confirmation,02-Jun-2026,Original spec
106,LEGACY,Legacy Name Update Trigger,When RO Name is changed the previous name must be stored in Legacy_Names before the new name is written.,CURRENT,User confirmation,02-Jun-2026,Original spec
107,DOC_YOC,DOC Default Rule,If DOC is not explicitly provided for a new RO default = last date of the month in which the SAP entry first appears in data.,CURRENT,User confirmation,02-Jun-2026,Original spec
108,DOC_YOC,YOC Derivation Rule,YOC derived from DOC. If DOC month >= April: FY = DOC_year to DOC_year+1. If DOC month < April: FY = DOC_year-1 to DOC_year. Format: YYYY-YY.,CURRENT,User confirmation,02-Jun-2026,Original spec
109,DOC_YOC,YOC Default for Missing DOC,If DOC is also null: YOC = Pre-{earliest YOC year present in master}.,CURRENT,User confirmation,02-Jun-2026,Original spec
110,DOC_YOC,YOC is Derived-Only,YOC is never manually entered. Any change to DOC automatically recalculates YOC. Manual edits to YOC field are not permitted.,CURRENT,User confirmation,02-Jun-2026,Original spec
111,SITE,COCO A-Site Default,All COCO outlets default to A Site classification. Can only be overridden with explicit authority approval and admin override logging.,CURRENT,User confirmation,02-Jun-2026,Original spec
112,RESITEMENT,Partial Resitement Definition,Historical OMC procedure (now discontinued) where if an RO location lost potential for one product that product was permitted to operate from a separate physical site. Resulted in two SAP codes for different products at the same outlet.,CURRENT,User confirmation,02-Jun-2026,Original spec
113,RESITEMENT,Partial Resitement in TA,Partial resitement means MS and HSD of the same RO may be in different Trading Areas. TA_Code_MS and TA_Code_HSD differ for these ROs. Partial_Resitement_Flag set to Yes.,CURRENT,User confirmation,02-Jun-2026,Original spec
114,RESITEMENT,Partial Resitement — SAP 5 Rule,SAP 5 (Kamal Petrol Depot / HPCL) is a defunct partial resitement entry. Zero sales confirmed. Excluded from all analysis. Flagged DEFUNCT.,RETIRED,User decision,02-Jun-2026,SAP 5 has been split and reactivated. New active codes are 41052120 (HSD) and 41052120-M (MS). SAP 5 is now legacy of 41052120-M.
115,COM,COM D1 Rule,D1 Class of Market: NH (National Highway) is a mandatory qualifying condition.,MODIFIED,User decision,02-Jun-2026,Modified: A-COM ROs with NH stay A (A-COM override rule). D1 <-> NH is mandatory for non-A ROs only.
116,COM,COM D2 Rule,D2 Class of Market: SH (State Highway) is a mandatory qualifying condition.,CURRENT,User confirmation,02-Jun-2026,Original spec retained
117,COM,COM Valid Values,Five valid COM values: A / C / D1 / D2 / E. Case-sensitive: exactly as listed.,CURRENT,User confirmation,02-Jun-2026,Original spec
118,SITE,A/B Site Rule — IOCL,Mandatory for all IOCL ROs. Must be A or B. All COCO ROs default to A.,CURRENT,User confirmation,02-Jun-2026,Original spec
119,SITE,A/B Site Rule — Competitors,Null is permitted and expected for non-IOCL ROs. No action required for blank values.,CURRENT,User confirmation,02-Jun-2026,Original spec
120,COM,Data Complete Flag Definition,Yes if all mandatory fields populated for IOCL RO. DEFUNCT if RO is flagged defunct. Pending_OMC if temporary competitor name assigned. Derived-only — never manually set.,CURRENT,User confirmation,02-Jun-2026,Original spec
121,COM,Mandatory IOCL Fields,For IOCL ROs: SAP Code / RO Name / OMC / RSA / Category / Trading Area / District / COM must all be non-null for Data_Complete_Flag = Yes.,CURRENT,User confirmation,02-Jun-2026,Original spec
122,FY_DATA,Annual FY Total Recalculation Rule,If annual total shows 0 despite monthly data existing it is a formula error. Correct total = sum of all 12 monthly values. Auto-resolvable issue.,CURRENT,User confirmation,02-Jun-2026,Original spec
123,FY_DATA,Historical FY Data — Frozen,Historical monthly volumes are frozen once FY is closed (after March). No corrections without admin override and documented justification.,CURRENT,User confirmation,02-Jun-2026,Original spec
